job_title,industry,collar_type,income_bracket,weight,chance_percent
Medical sales representative,Sales and Marketing,white-collar,middle,2640,0.0995
Tourism officer,Professional Services,white-collar,middle,2640,0.0995
Personnel officer,Professional Services,white-collar,middle,2640,0.0995
Stage manager,Professional Services,white-collar,upper-middle,2640,0.0995
"Scientist, research (maths)",Professional Services,white-collar,middle,2640,0.0995
Field trials officer,Professional Services,white-collar,middle,2640,0.0995
"Designer, exhibition/display",Creative and Media,white-collar,middle,2640,0.0995
"Programmer, applications",Engineering and Technology,white-collar,middle,2640,0.0995
Theme park manager,Professional Services,white-collar,upper-middle,2640,0.0995
Forensic psychologist,Healthcare,white-collar,upper-middle,2640,0.0995
"Surveyor, planning and development",Professional Services,white-collar,middle,2640,0.0995
"Psychologist, sport and exercise",Healthcare,white-collar,upper-middle,2420,0.0912
"Therapist, sports",Healthcare,white-collar,middle,2420,0.0912
"Radiographer, therapeutic",Professional Services,white-collar,middle,2420,0.0912
Chiropodist,Professional Services,white-collar,middle,2420,0.0912
Media buyer,Professional Services,white-collar,middle,2420,0.0912
Outdoor activities/education manager,Professional Services,white-collar,upper-middle,2420,0.0912
"Social research officer, government",Professional Services,white-collar,middle,2420,0.0912
"Pilot, airline",Transport and Logistics,white-collar,upper-middle,2420,0.0912
Learning disability nurse,Healthcare,white-collar,middle,2420,0.0912
Warden/ranger,Professional Services,white-collar,middle,2420,0.0912
Interior and spatial designer,Creative and Media,white-collar,middle,2420,0.0912
Midwife,Professional Services,white-collar,middle,2420,0.0912
Marketing executive,Professional Services,white-collar,middle,2420,0.0912
Medical laboratory scientific officer,Professional Services,white-collar,middle,2420,0.0912
Furniture conservator/restorer,Professional Services,white-collar,middle,2420,0.0912
Hospital pharmacist,Professional Services,white-collar,middle,2420,0.0912
Broadcast journalist,Creative and Media,white-collar,middle,2420,0.0912
Horticultural therapist,Healthcare,white-collar,middle,2420,0.0912
Nutritional therapist,Healthcare,white-collar,middle,2420,0.0912
Logistics and distribution manager,Professional Services,white-collar,upper-middle,2420,0.0912
Clinical research associate,Professional Services,white-collar,middle,2420,0.0912
"Psychotherapist, child",Healthcare,white-collar,middle,2420,0.0912
Community development worker,Social Services,white-collar,middle,2420,0.0912
Risk analyst,Engineering and Technology,white-collar,upper-middle,2420,0.0912
International aid/development worker,Professional Services,white-collar,middle,2420,0.0912
Land/geomatics surveyor,Professional Services,white-collar,middle,2420,0.0912
Associate Professor,Education,civil-service,upper-middle,2420,0.0912
Exhibition designer,Creative and Media,white-collar,middle,2420,0.0912
Visual merchandiser,Professional Services,white-collar,middle,2420,0.0912
Translator,Professional Services,white-collar,middle,2420,0.0912
Banker,Finance,white-collar,middle,2420,0.0912
Garment/textile technologist,Engineering and Technology,white-collar,middle,2420,0.0912
Careers adviser,Professional Services,white-collar,middle,2420,0.0912
Fisheries officer,Professional Services,white-collar,middle,2420,0.0912
Pharmacologist,Professional Services,white-collar,middle,2420,0.0912
Regulatory affairs officer,Professional Services,white-collar,middle,2420,0.0912
Quantity surveyor,Professional Services,white-collar,middle,2420,0.0912
Town planner,Professional Services,white-collar,middle,2420,0.0912
"Accountant, chartered management",Finance,white-collar,upper-middle,2420,0.0912
Clothing/textile technologist,Engineering and Technology,white-collar,middle,2420,0.0912
Theatre manager,Professional Services,white-collar,upper-middle,2420,0.0912
Dancer,Professional Services,white-collar,middle,2420,0.0912
Photographer,Professional Services,white-collar,middle,2420,0.0912
Chief Executive Officer,Professional Services,white-collar,upper-middle,2420,0.0912
"Engineer, maintenance (IT)",Engineering and Technology,white-collar,upper-middle,2420,0.0912
"Teacher, primary school",Education,civil-service,middle,2420,0.0912
Public house manager,Professional Services,white-collar,upper-middle,2420,0.0912
Heritage manager,Professional Services,white-collar,upper-middle,2420,0.0912
Sports administrator,Professional Services,white-collar,middle,2420,0.0912
Geoscientist,Professional Services,white-collar,middle,2420,0.0912
Research scientist (physical sciences),Professional Services,white-collar,middle,2420,0.0912
"Physicist, medical",Professional Services,white-collar,middle,2420,0.0912
Ecologist,Professional Services,white-collar,middle,2200,0.0829
Technical sales engineer,Engineering and Technology,white-collar,upper-middle,2200,0.0829
"Psychologist, educational",Healthcare,white-collar,upper-middle,2200,0.0829
Chemical engineer,Engineering and Technology,white-collar,upper-middle,2200,0.0829
Estate manager/land agent,Professional Services,white-collar,upper-middle,2200,0.0829
Paramedic,Professional Services,white-collar,middle,2200,0.0829
Maintenance engineer,Engineering and Technology,white-collar,upper-middle,2200,0.0829
Volunteer coordinator,Professional Services,white-collar,middle,2200,0.0829
Public relations officer,Professional Services,white-collar,middle,2200,0.0829
Energy manager,Professional Services,white-collar,upper-middle,2200,0.0829
Operational investment banker,Finance,white-collar,middle,2200,0.0829
Financial adviser,Finance,white-collar,middle,2200,0.0829
Product/process development scientist,Professional Services,white-collar,middle,2200,0.0829
Statistician,Professional Services,white-collar,middle,2200,0.0829
Investment analyst,Engineering and Technology,white-collar,upper-middle,2200,0.0829
"Designer, furniture",Creative and Media,white-collar,middle,2200,0.0829
Television production assistant,Professional Services,white-collar,middle,2200,0.0829
Museum/gallery curator,Professional Services,white-collar,middle,2200,0.0829
"Nurse, adult",Healthcare,white-collar,middle,2200,0.0829
"Engineer, automotive",Engineering and Technology,white-collar,upper-middle,2200,0.0829
Facilities manager,Professional Services,white-collar,upper-middle,2200,0.0829
Production manager,Professional Services,white-collar,upper-middle,2200,0.0829
"Clinical scientist, histocompatibility and immunogenetics",Professional Services,white-collar,middle,2200,0.0829
Soil scientist,Professional Services,white-collar,middle,2200,0.0829
"Teacher, early years/pre",Education,civil-service,middle,2200,0.0829
Management consultant,Professional Services,white-collar,middle,2200,0.0829
Ship broker,Professional Services,white-collar,middle,2200,0.0829
"Education officer, environmental",Education,civil-service,middle,2200,0.0829
Artist,Creative and Media,white-collar,middle,2200,0.0829
"Runner, broadcasting/film/video",Professional Services,white-collar,middle,2200,0.0829
Newspaper journalist,Creative and Media,white-collar,middle,2200,0.0829
Database administrator,Professional Services,white-collar,middle,2200,0.0829
Geophysical data processor,Professional Services,white-collar,middle,2200,0.0829
Mental health nurse,Healthcare,white-collar,middle,2200,0.0829
Analytical chemist,Professional Services,white-collar,middle,2200,0.0829
Advertising account planner,Professional Services,white-collar,middle,2200,0.0829
Contracting civil engineer,Engineering and Technology,white-collar,upper-middle,2200,0.0829
IT technical support officer,Engineering and Technology,white-collar,middle,2200,0.0829
"Pharmacist, hospital",Professional Services,white-collar,middle,2200,0.0829
Lobbyist,Professional Services,white-collar,middle,2200,0.0829
"Radiographer, diagnostic",Professional Services,white-collar,middle,2200,0.0829
Advertising art director,Professional Services,white-collar,upper-middle,2200,0.0829
Press sub,Professional Services,white-collar,middle,2200,0.0829
"Engineer, electronics",Engineering and Technology,white-collar,upper-middle,2200,0.0829
Financial planner,Finance,white-collar,middle,2200,0.0829
"Administrator, Civil Service",Professional Services,white-collar,middle,2200,0.0829
Risk manager,Professional Services,white-collar,upper-middle,2200,0.0829
"Surveyor, mining",Professional Services,white-collar,middle,2200,0.0829
Osteopath,Professional Services,white-collar,middle,2200,0.0829
Tax adviser,Finance,white-collar,middle,2200,0.0829
"Engineer, production",Engineering and Technology,white-collar,upper-middle,2200,0.0829
Commissioning editor,Professional Services,white-collar,middle,2200,0.0829
"Production assistant, television",Professional Services,white-collar,middle,2200,0.0829
Product manager,Professional Services,white-collar,upper-middle,2200,0.0829
"Teacher, adult education",Education,civil-service,middle,2200,0.0829
"Therapist, drama",Healthcare,white-collar,middle,2200,0.0829
Make,Professional Services,white-collar,middle,2200,0.0829
Dramatherapist,Healthcare,white-collar,middle,2200,0.0829
Nature conservation officer,Professional Services,white-collar,middle,2200,0.0829
Textile designer,Creative and Media,white-collar,middle,2200,0.0829
Clinical cytogeneticist,Professional Services,white-collar,middle,2200,0.0829
Chartered public finance accountant,Finance,white-collar,upper-middle,2200,0.0829
"Teacher, music",Education,civil-service,middle,2200,0.0829
Accommodation manager,Professional Services,white-collar,upper-middle,2200,0.0829
"Therapist, art",Healthcare,white-collar,middle,2200,0.0829
"Biochemist, clinical",Healthcare,white-collar,middle,2200,0.0829
Water engineer,Engineering and Technology,white-collar,upper-middle,2200,0.0829
Probation officer,Professional Services,white-collar,middle,2200,0.0829
Human resources officer,Professional Services,white-collar,middle,2200,0.0829
Publishing rights manager,Professional Services,white-collar,upper-middle,2200,0.0829
Immigration officer,Professional Services,white-collar,middle,2200,0.0829
Telecommunications researcher,Professional Services,white-collar,middle,2200,0.0829
"Lecturer, further education",Education,civil-service,upper-middle,2200,0.0829
Art gallery manager,Professional Services,white-collar,upper-middle,2200,0.0829
Museum education officer,Education,civil-service,middle,2200,0.0829
Haematologist,Healthcare,white-collar,upper-middle,1980,0.0746
"Research officer, political party",Professional Services,white-collar,middle,1980,0.0746
"Conservation officer, nature",Professional Services,white-collar,middle,1980,0.0746
"Designer, industrial/product",Creative and Media,white-collar,middle,1980,0.0746
Public affairs consultant,Professional Services,white-collar,middle,1980,0.0746
